"Date","Price","Return"
2015-11-11,108333,0.015497985
2015-11-12,110000,0.015270549
2015-11-13,114167,0.037181923
2015-11-16,116667,0.021661434
2015-11-17,111667,-0.043802495
2015-11-18,110000,-0.015040862
2015-11-19,108333,-0.015270549
2015-11-20,109167,0.007669003
2015-11-23,105833,-0.03101644
2015-11-24,102500,-0.031999581
2015-11-25,104167,0.016132582
2015-11-26,102500,-0.016132582
2015-11-27,103333,0.008093984
2015-11-30,103333,0
2015-12-01,101667,-0.016254016
2015-12-02,102500,0.008160032
2015-12-03,102500,0
2015-12-04,102500,0
2015-12-07,1e+05,-0.024692613
2015-12-08,104167,0.040825195
2015-12-09,102500,-0.016132582
2015-12-10,102500,0
2015-12-11,102500,0
2015-12-14,103333,0.008093984
2015-12-15,105000,0.016003567
2015-12-16,106667,0.015751482
2015-12-17,106667,0
2015-12-18,106667,0
2015-12-21,104167,-0.023716452
2015-12-22,104167,0
2015-12-23,103333,-0.008038598
2015-12-24,104167,0.008038598
2015-12-25,103333,-0.008038598
2015-12-28,105833,0.023905597
2015-12-29,105833,0
2015-12-30,105833,0
2015-12-31,106667,0.007849452
2016-01-04,105000,-0.015751482
2016-01-05,104167,-0.00796497
2016-01-06,105000,0.00796497
2016-01-07,103333,-0.016003567
2016-01-08,101667,-0.016254016
2016-01-11,100833,-0.008237084
2016-01-12,102500,0.016397116
2016-01-13,100833,-0.016397116
2016-01-14,100833,0
2016-01-15,1e+05,-0.008295497
2016-01-18,97500,-0.025317808
2016-01-19,99167,0.01695292
2016-01-20,97500,-0.01695292
2016-01-21,96667,-0.008580295
2016-01-22,95000,-0.017395191
2016-01-25,98333,0.034482786
2016-01-26,95833,-0.025752585
2016-01-27,97500,0.017245285
2016-01-28,96667,-0.008580295
2016-01-29,96667,0
2016-02-01,99167,0.025533215
2016-02-02,99167,0
2016-02-03,100833,0.016660385
2016-02-04,101667,0.008237084
2016-02-05,103333,0.016254016
2016-02-15,105000,0.016003567
2016-02-16,106667,0.015751482
2016-02-17,108333,0.015497985
2016-02-18,107500,-0.007718969
2016-02-19,107500,0
2016-02-22,108333,0.007718969
2016-02-23,108333,0
2016-02-24,109167,0.007669003
2016-02-25,107500,-0.015387972
2016-02-26,108333,0.007718969
2016-02-29,106667,-0.015497985
2016-03-01,108333,0.015497985
2016-03-02,110000,0.015270549
2016-03-03,109167,-0.007601546
2016-03-04,110000,0.007601546
2016-03-07,109167,-0.007601546
2016-03-08,109167,0
2016-03-09,109167,0
2016-03-10,109167,0
2016-03-11,113333,0.037451568
2016-03-14,112500,-0.007377166
2016-03-15,113333,0.007377166
2016-03-16,114167,0.007331901
2016-03-17,115000,0.00726984
2016-03-18,115000,0
2016-03-21,112500,-0.021978907
2016-03-22,110833,-0.014928658
2016-03-23,111667,0.007496664
2016-03-24,112500,0.007431993
2016-03-25,111667,-0.007431993
2016-03-28,112500,0.007431993
2016-03-29,111667,-0.007431993
2016-03-30,113333,0.01480916
2016-03-31,111667,-0.01480916
2016-04-01,111667,0
2016-04-04,111667,0
2016-04-05,114167,0.022141061
2016-04-06,114167,0
2016-04-07,117500,0.028776045
2016-04-08,119167,0.014087537
2016-04-11,119167,0
2016-04-12,119167,0
2016-04-13,118333,-0.007023187
2016-04-14,118333,0
2016-04-15,119167,0.007023187
2016-04-19,115833,-0.028376372
2016-04-20,113333,-0.021819111
2016-04-21,114167,0.007331901
2016-04-22,116667,0.021661434
2016-04-25,115833,-0.007174224
2016-04-26,116667,0.007174224
2016-04-27,115000,-0.014391595
2016-04-28,115000,0
2016-04-29,115833,0.00721737
2016-05-04,118333,0.021353185
2016-05-05,118333,0
2016-05-06,118333,0
2016-05-09,120000,0.013989059
2016-05-10,119167,-0.006965872
2016-05-11,121667,0.020761934
2016-05-12,120833,-0.006878378
2016-05-13,120000,-0.006917684
2016-05-16,121667,0.013796062
2016-05-17,122500,0.006823225
2016-05-18,120833,-0.013701603
2016-05-19,120833,0
2016-05-20,121667,0.006878378
2016-05-23,121667,0
2016-05-24,120833,-0.006878378
2016-05-25,120000,-0.006917684
2016-05-26,117500,-0.021053409
2016-05-27,119167,0.014087537
2016-05-30,118333,-0.007023187
2016-05-31,118333,0
2016-06-01,117500,-0.00706435
2016-06-02,117500,0
2016-06-03,115833,-0.014288835
2016-06-06,113333,-0.021819111
2016-06-07,114167,0.007331901
2016-06-08,115000,0.00726984
2016-06-09,115000,0
2016-06-10,114167,-0.00726984
2016-06-13,114167,0
2016-06-14,114167,0
2016-06-15,114167,0
2016-06-16,114167,0
2016-06-17,114167,0
2016-06-20,114167,0
2016-06-21,115833,0.01448721
2016-06-22,115833,0
2016-06-23,116667,0.007174224
2016-06-24,114167,-0.021661434
2016-06-27,114167,0
2016-06-28,116667,0.021661434
2016-06-29,115833,-0.007174224
2016-06-30,117500,0.014288835
2016-07-01,119167,0.014087537
2016-07-04,120833,0.013883556
2016-07-05,120000,-0.006917684
2016-07-06,119167,-0.006965872
2016-07-07,122500,0.027585159
2016-07-08,122500,0
2016-07-11,121667,-0.006823225
2016-07-12,122500,0.006823225
2016-07-13,122500,0
2016-07-14,121667,-0.006823225
2016-07-15,122500,0.006823225
2016-07-18,125000,0.020202707
2016-07-19,127500,0.019802627
2016-07-20,131667,0.032159643
2016-07-21,130833,-0.006354307
2016-07-22,130000,-0.00638725
2016-07-25,128333,-0.012906002
